"","year","num_trop_storms","num_hurricanes","num_major","deaths","damage","damage_number","damage_magnitude","storms_total"
"1",1980,11,9,2,"256",1e+09,1,"billion",20
"2",1981,12,7,3,"10",4.5e+07,45,"million",19
"3",1982,6,2,1,"141",1e+08,100,"million",8
"4",1983,4,3,1,"22",2.6e+09,2.6,"billion",7
"5",1984,13,5,1,"35",6.6e+07,66,"million",18
"6",1985,11,7,3,"241",4.5e+09,4.5,"billion",18
"7",1986,6,4,0,"70",5.7e+07,57,"million",10
"8",1987,7,3,1,"10",9e+07,90,"million",10
"9",1988,12,5,3,"550",7e+09,7,"billion",17
"10",1989,11,7,2,"112",1.07e+10,10.7,"billion",18
"11",1990,14,8,1,"116",1.5e+08,150,"million",22
"12",1991,8,4,2,"30",2.5e+09,2.5,"billion",12
"13",1992,7,4,1,"66",2.6e+10,26,"billion",11
"14",1993,8,4,1,"274",2.71e+08,271,"million",12
"15",1994,7,3,0,"1,184",1.56e+09,1.56,"billion",10
"16",1995,19,11,5,"115",9.3e+09,9.3,"billion",30
"17",1996,13,9,6,"179",3.8e+09,3.8,"billion",22
"18",1997,8,3,1,"11",1.1e+08,110,"million",11
"19",1998,14,10,3,"12,000+",1.22e+10,12.2,"billion",24
"20",1999,12,8,5,"465",5.9e+09,5.9,"billion",20
"21",2000,15,8,3,"79",1.2e+09,1.2,"billion",23
"22",2001,15,9,4,"105",7.1e+09,7.1,"billion",24
"23",2002,12,4,2,"53",2.6e+09,2.6,"billion",16
"24",2003,16,7,3,"92",4.4e+09,4.4,"billion",23
"25",2004,15,9,6,"3,100+",5e+10,50,"billion",24
"26",2005,28,15,7,"2,280+",1.59e+11,159,"billion",43
"27",2006,10,5,2,"14",5e+08,500,"million",15
"28",2007,15,6,2,"423",3e+09,3,"billion",21
"29",2008,16,8,5,"1,047",4.2e+10,42,"billion",24
"30",2009,9,3,2,"6",7.7e+07,77,"million",12
"31",2010,19,12,5,"314",4.53e+09,4.53,"billion",31
"32",2011,19,7,4,"114",1.859e+10,18.59,"billion",26
"33",2012,19,10,2,"354",7.797e+10,77.97,"billion",29
"34",2013,14,2,0,"47",1.51e+09,1.51,"billion",16
"35",2014,8,6,2,"17",2.32e+08,232,"million",14
"36",2015,11,4,2,"89",730400000,730.4,"million",15
"37",2016,15,7,4,"744",1.61e+10,16.1,"billion",22
"38",2017,17,10,6,"464",3.6756e+11,367.56,"billion",27
